Origin,Destination,dV_to_low_orbit,ejection_dV,capture_dV,transfer_to_low_orbit_dV,total_capture_dV,dV_low_orbit_to_surface,ascent_dV,plane_change_dV,parent,isMoon,order
Gael,Grannus,3200,0,0,0,0,0,0,0,Ciro,False,0
Gael,Ciro,3200,6895,0,54500,54500,0,0,0,,False,0
Gael,Icarus,3200,2495,4800,185,4985,590,0,1850,Ciro,False,1
Gael,Thalia,3200,1395,1220,350,1570,1010,0,645,Ciro,False,2
Gael,Eta,0,0,5,90,95,225,0,30,Thalia,True,2.1
Gael,Niven,3200,1025,195,520,715,2015,0,185,Ciro,False,3
Gael,Iota,3200,905,905,195,1100,355,0,345,Gael,True,4.1
Gael,Ceti,3200,925,0,220,220,530,0,700,Gael,True,4.2
Gael,Tellumo,3200,1115,90,1730,1820,7050,0,235,Ciro,False,5
Gael,Lili,0,0,0,0,0,0,0,0,Tellumo,True,5.1
Gael,Lili,0,0,0,0,0,0,0,0,Tellumo,True,5.2
Gael,Gratian,3200,1545,440,790,1230,2570,0,305,Ciro,False,6
Gael,Geminus,0,0,75,335,410,800,0,100,Gratian,True,6.1
Gael,Otho,3200,2015,230,2140,2370,0,0,235,Ciro,False,7
Gael,Augustus,0,0,650,720,1370,1575,0,85,Otho,True,7.1
Gael,Hephaestus,0,0,655,765,1420,375,0,45,Otho,True,7.2
Gael,Jannah,0,0,215,680,895,315,0,530,Otho,True,7.3
Gael,Gauss,3200,2365,1930,0,1930,0,0,320,Ciro,False,8
Gael,Tarsiss,0,0,335,410,745,2045,0,0,Catullus,True,8.1
Gael,Loki,0,0,460,650,1110,475,0,310,Gauss,True,8.2
Gael,Catullus,0,0,230,325,555,1275,6750,80,Gauss,True,8.3
Gael,Nero,3200,2575,125,2710,2835,0,0,165,Ciro,False,9
Gael,Agrippina,0,0,30,400,430,575,0,2040,Nero,True,9.1
Gael,Julia,0,0,0,0,0,0,0,1140,Nero,True,9.2
Gael,Minona,0,0,185,770,955,330,0,1230,Nero,True,9.3
Gael,Muse,0,0,305,880,1185,385,0,1130,Nero,True,9.4
Gael,Hadrian,0,0,755,900,1655,1245,0,1070,Nero,True,9.5
Gael,Narisse,0,0,495,1070,1565,235,0,1180,Nero,True,9.6
Gael,Hox,3200,2665,755,225,980,710,0,820,Ciro,False,10
Gael,Argo,0,0,10,75,85,209,0,365,Hox,True,10.1
Gael,Leto,3200,2705,715,190,905,560,0,1650,Ciro,False,11
